"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"democratie#unknown";"0";"1";"18";"democratie";"N";"democratie#18"
"bezuinigingsmaatregelen#unknown";"0";"1";"6";"bezuinigingsmaatregel";"N";"bezuinigingsmaatregelen#6"
"aanbeval#unknown";"0";"1";"2";"aanbevelen";"V";"aanbeval#2"
"lid#unknown";"0";"1";"36";"lid";"N";"lid#36"
"winnaar#unknown";"0";"1";"8";"winnaar";"N";"winnaar#8"
"crisis#unknown";"0";"1";"140";"crisis";"N";"crisis#140"
"akkoord#unknown";"0";"1";"110";"akkoord";"N";"akkoord#110"
"obligaties#unknown";"0";"1";"26";"obligatie";"N";"obligaties#26"
"deel#unknown";"0";"1";"53";"deel";"N";"deel#53"
"prijzen#unknown";"0";"1";"11";"prijs";"N";"prijzen#11"
"rusland#unknown";"0";"1";"62";"Rusland";"R";"rusland#62"
"strijd#unknown";"0";"1";"47";"strijd";"N";"strijd#47"
"banen#unknown";"0";"1";"38";"baan";"N";"banen#38"
"clinton#unknown";"0";"1";"9";"Clinton";"O";"clinton#9"
"mens#unknown";"0";"1";"7";"mens";"N";"mens#7"
"arrogantie#unknown";"0";"1";"3";"arrogantie";"N";"arrogantie#3"
"vrijheid#unknown";"0";"1";"17";"vrijheid";"N";"vrijheid#17"
"speler#unknown";"0";"1";"2";"speler";"N";"speler#2"
"thatcher#unknown";"0";"1";"76";"Thatcher";"O";"thatcher#76"
"nacht#unknown";"0";"1";"14";"nacht";"N";"nacht#14"
"politica#unknown";"0";"1";"8";"politica";"N";"politica#8"
"pensioenen#unknown";"0";"1";"10";"pensioen";"N";"pensioenen#10"
"macht#unknown";"0";"1";"41";"macht";"N";"macht#41"
"iedereen#unknown";"0";"1";"31";"Iedereen";"O";"iedereen#31"
"klus#unknown";"0";"1";"6";"klus";"N";"klus#6"
"vrienden#unknown";"0";"1";"10";"vriend";"N";"vrienden#10"
"landen#unknown";"0";"1";"304";"land";"N";"landen#305"
"ervan#unknown";"0";"1";"38";"ervan";"Q";"ervan#38"
"marathonoverleg#unknown";"0";"1";"6";"marathonoverleg";"O";"marathonoverleg#6"
"mark#unknown";"0";"1";"77";"mark";"N";"mark#77"
"drama#unknown";"0";"1";"6";"drama";"N";"drama#6"
"samenwerken#unknown";"0";"1";"23";"samenwerken";"N";"samenwerken#23"
"partij#unknown";"0";"1";"158";"partij";"N";"partij#158"
"hulp#unknown";"0";"1";"40";"hulp";"N";"hulp#40"
"euro#unknown";"0";"1";"317";"euro";"N";"euro#317"
"duitsland#unknown";"0";"1";"433";"Duitsland";"R";"duitsland#433"
"aandacht#unknown";"0";"1";"15";"aandacht";"N";"aandacht#15"
"groei#unknown";"0";"1";"172";"groei";"N";"groei#172"
"consumptie#unknown";"0";"1";"4";"consumptie";"N";"consumptie#4"
"2012#unknown";"0";"1";"111";"@card@";"O";"2012#111"
"samenwerking#unknown";"0";"1";"80";"samenwerking";"N";"samenwerking#80"
"zaak#unknown";"0";"1";"13";"zaak";"N";"zaak#13"
"compromissen#unknown";"0";"1";"19";"compromis";"N";"compromissen#19"
"enthousiasme#unknown";"0";"1";"5";"enthousiasme";"N";"enthousiasme#5"
"premier#unknown";"0";"1";"476";"premier";"N";"premier#476"
"bondgenoten#unknown";"0";"1";"26";"bondgenoot";"N";"bondgenoten#26"
"integratie#unknown";"0";"1";"49";"integratie";"N";"integratie#49"
"snowden#unknown";"0";"1";"56";"Snowden";"O";"snowden#56"
"cda#unknown";"0";"1";"22";"CDA";"N";"cda#22"
"thema#unknown";"0";"1";"11";"thema";"N";"thema#11"
"spanje#unknown";"0";"1";"85";"Spanje";"R";"spanje#85"
"gebieden#unknown";"0";"1";"10";"gebied";"N";"gebieden#10"
"begrotingstekorten#unknown";"0";"1";"4";"begrotingstekort";"N";"begrotingstekorten#4"
"bericht#unknown";"0";"1";"24";"bericht";"N";"bericht#24"
"dit plan#unknown";"1";"1";"1";"dit plan";"D N";"dit#248 plan#77"
"hete eurozomer#unknown";"1";"1";"1";"heet eurozomer";"G O";"hete#2 eurozomer#1"
"aanpak eu-migranten#unknown";"1";"1";"1";"aanpak EU-migranten";"N O";"aanpak#18 eu-migranten#3"
"constitutioneel debat#unknown";"1";"1";"1";"constitutioneel debat";"G N";"constitutioneel#2 debat#78"
"crisisbestrijding europa#unknown";"1";"1";"1";"crisisbestrijding Europa";"O R";"crisisbestrijding#2 europa#850"
"merkels tekst#unknown";"1";"1";"1";"Merkels tekst";"O N";"merkels#46 tekst#9"
"onze standpunten#unknown";"1";"1";"1";"ons standpunt";"D N";"onze#106 standpunten#16"
"zonder leningen#unknown";"1";"1";"1";"Zonder lening";"O N";"zonder#68 leningen#25"
"bijkomende hulp#unknown";"1";"1";"1";"bijkomend hulp";"G N";"bijkomende#4 hulp#40"
"een bankrun#unknown";"1";"1";"1";"een bankrun";"D O";"een#3166 bankrun#1"
"de belastingontduikers#unknown";"1";"1";"1";"de belastingontduikers";"D O";"de#10786 belastingontduikers#1"
"de komiek#unknown";"1";"1";"1";"de komiek";"D N";"de#10786 komiek#1"
"de toestand#unknown";"1";"1";"1";"De toestand";"O N";"de#10786 toestand#3"
"frans-duitse europapolitiek#unknown";"1";"1";"1";"Frans-Duitse Europapolitiek";"O O";"frans-duitse#13 europapolitiek#1"
"zijn butler#unknown";"1";"1";"1";"zijn butler";"D N";"zijn#1296 butler#2"
"pro-europees cda#unknown";"1";"1";"1";"Pro-Europees CDA";"O N";"pro-europees#4 cda#22"
"betere eu#unknown";"1";"1";"1";"goed EU";"G O";"betere#10 eu#349"
"het ledenaantal#unknown";"1";"1";"1";"het ledenaantal";"D O";"het#3561 ledenaantal#1"
"officieel reageren#unknown";"1";"1";"1";"officieel reageren";"G V";"officieel#24 reageren#14"
"de vergezichten#unknown";"1";"1";"1";"de vergezicht";"D N";"de#10786 vergezichten#6"
"het vonnis#unknown";"1";"1";"1";"het vonnis";"D N";"het#3561 vonnis#1"
"invloed brussel#unknown";"1";"1";"1";"invloed Brussel";"N R";"invloed#26 brussel#221"
"de stemmers#unknown";"1";"1";"1";"de stemmer";"D N";"de#10786 stemmers#5"
"de euro#unknown";"0";"6";"110";"de euro";"D N";"de#10786 euro#317"
"het referendum#unknown";"0";"3";"13";"het referendum";"D N";"het#3561 referendum#134"
"meer europa#unknown";"0";"3";"13";"meer Europa";"A R";"meer#506 europa#850"
"economische groei#unknown";"0";"3";"88";"economisch groei";"G N";"economische#185 groei#172"
"angela merkel#unknown";"0";"3";"347";"Angela Merkel";"O O";"angela#359 merkel#1037"
"de schuldencrisis#unknown";"0";"2";"40";"de schuldencrisis";"D O";"de#10786 schuldencrisis#71"
"een referendum#unknown";"0";"2";"85";"een referendum";"D N";"een#3166 referendum#134"
"margaret thatcher#unknown";"0";"2";"24";"Margaret Thatcher";"O O";"margaret#30 thatcher#76"
"nicolas sarkozy#unknown";"0";"2";"28";"Nicolas Sarkozy";"O O";"nicolas#28 sarkozy#98"
"de keuze#unknown";"0";"2";"10";"de keuze";"D N";"de#10786 keuze#22"
"de begroting#unknown";"0";"2";"28";"de begroting";"D N";"de#10786 begroting#81"
"de fdp#unknown";"0";"2";"26";"de FDP";"D N";"de#10786 fdp#54"
"de problemen#unknown";"0";"2";"20";"de probleem";"D N";"de#10786 problemen#61"
"frans-duitse vriendschap#unknown";"0";"2";"4";"Frans-Duitse vriendschap";"O N";"frans-duitse#13 vriendschap#16"
"europese unie#unknown";"0";"1";"213";"Europees unie";"G N";"europese#981 unie#322"
"de standpunten#unknown";"0";"1";"9";"de standpunt";"D N";"de#10786 standpunten#16"
"veel britten#unknown";"0";"1";"3";"veel Brit";"A N";"veel#195 britten#81"
"het cda#unknown";"0";"1";"10";"het CDA";"D N";"het#3561 cda#22"
"hun meerderheid#unknown";"0";"1";"2";"hun meerderheid";"D N";"hun#197 meerderheid#53"
"de veranderingen#unknown";"0";"1";"6";"de verandering";"D N";"de#10786 veranderingen#14"
"barack obama#unknown";"0";"1";"36";"Barack Obama";"O O";"barack#36 obama#168"
"de partij#unknown";"0";"1";"59";"de partij";"D N";"de#10786 partij#158"
"een overwinning#unknown";"0";"1";"2";"een overwinning";"D N";"een#3166 overwinning#25"
"de kans#unknown";"0";"1";"15";"de kans";"D N";"de#10786 kans#34"
"de vraag#unknown";"0";"1";"36";"de vraag";"D N";"de#10786 vraag#60"
"het eu-lidmaatschap#unknown";"0";"1";"11";"het EU-lidmaatschap";"D O";"het#3561 eu-lidmaatschap#19"
"het reddingsplan#unknown";"0";"1";"11";"het reddingsplan";"D N";"het#3561 reddingsplan#14"
"budgettaire soevereiniteit#unknown";"0";"1";"2";"budgettair soevereiniteit";"G N";"budgettaire#2 soevereiniteit#10"
"het rapport#unknown";"0";"1";"14";"het rapport";"D N";"het#3561 rapport#21"
"de begrotingseisen#unknown";"0";"1";"2";"de begrotingseisen";"D O";"de#10786 begrotingseisen#2"
"nauwer samenwerken#unknown";"0";"1";"2";"nauw samenwerken";"G V";"nauwer#3 samenwerken#23"
"de besparingsdrang#unknown";"0";"1";"2";"de besparingsdrang";"D O";"de#10786 besparingsdrang#2"
"een oplossing#unknown";"0";"1";"17";"een oplossing";"D N";"een#3166 oplossing#52"
"de eu#unknown";"0";"1";"275";"de EU";"D O";"de#10786 eu#349"
"de situatie#unknown";"0";"1";"17";"de situatie";"D N";"de#10786 situatie#31"
"zwakkere eu#unknown";"0";"1";"2";"zwak EU";"G O";"zwakkere#3 eu#349"
"de opvatting#unknown";"0";"1";"2";"de opvatting";"D N";"de#10786 opvatting#2"
"internationale veroordeling#unknown";"0";"1";"2";"internationaal veroordeling";"G N";"internationale#38 veroordeling#5"
"de spanningen#unknown";"0";"1";"5";"de spanning";"D N";"de#10786 spanningen#8"
"jean-marc ayrault#unknown";"0";"1";"4";"Jean-Marc Ayrault";"O O";"jean-marc#4 ayrault#10"
"een verklaring#unknown";"0";"1";"9";"een verklaring";"D N";"een#3166 verklaring#21"
"de klokkenluider#unknown";"0";"1";"4";"de klokkenluider";"D O";"de#10786 klokkenluider#19"
"politieke unie#unknown";"0";"1";"34";"politiek unie";"G N";"politieke#148 unie#322"
"voor duitsland#unknown";"0";"1";"18";"voor Duitsland";"P R";"voor#1627 duitsland#433"
"het besluit#unknown";"0";"1";"9";"het besluit";"D N";"het#3561 besluit#23"
"voor europa#unknown";"0";"1";"49";"voor Europa";"P R";"voor#1627 europa#850"
"het wapenembargo#unknown";"0";"1";"3";"het wapenembargo";"D N";"het#3561 wapenembargo#11"
"hollandes tegenstander#unknown";"0";"1";"5";"Hollandes tegenstander";"O N";"hollandes#23 tegenstander#10"
"obligaties uitgeven#unknown";"0";"1";"3";"obligatie uitgeven";"N V";"obligaties#26 uitgeven#15"
"desmond tutu#unknown";"0";"1";"3";"Desmond tutu";"O N";"desmond#3 tutu#4"
"de mensen#unknown";"0";"1";"13";"de mens";"D N";"de#10786 mensen#98"
"de eu-begroting#unknown";"0";"1";"11";"de EU-begroting";"D O";"de#10786 eu-begroting#16"
"de afspraken#unknown";"0";"1";"16";"de afspraak";"D N";"de#10786 afspraken#61"
"de uitgaven#unknown";"0";"1";"13";"de uitgaaf|uitgave";"D N";"de#10786 uitgaven#27"
"economisch beleid#unknown";"0";"1";"7";"economisch beleid";"G N";"economisch#30 beleid#54"
"persoonlijke samenwerking#unknown";"0";"1";"3";"persoonlijk samenwerking";"G N";"persoonlijke#17 samenwerking#80"
"te overtuigen#unknown";"0";"1";"2";"te overtuigen";"O V";"te#1760 overtuigen#11"
"meer overheidsuitgaven#unknown";"0";"1";"2";"veel overheidsuitgaven";"O N";"meer#506 overheidsuitgaven#6"
"françois hollande#unknown";"0";"1";"125";"François Hollande";"O O";"françois#135 hollande#491"
"parlementaire controle#unknown";"0";"1";"2";"parlementair controle";"G N";"parlementaire#4 controle#14"
"haar invloed#unknown";"0";"1";"4";"haar invloed";"D N";"haar#356 invloed#26"
"europese begrotingsregels#unknown";"0";"1";"10";"Europees begrotingsregels";"G O";"europese#981 begrotingsregels#20"
"noodzaak groei#unknown";"0";"1";"2";"noodzaak groeien";"N V";"noodzaak#10 groei#172"
"de speech#unknown";"0";"1";"25";"de speech";"D N";"de#10786 speech#43"
"het embargo#unknown";"0";"1";"7";"het embargo";"D N";"het#3561 embargo#8"
"de invoering#unknown";"0";"1";"26";"de invoering";"D N";"de#10786 invoering#35"
"het plan#unknown";"0";"1";"23";"het plan";"D N";"het#3561 plan#77"
"de bouwplannen#unknown";"0";"1";"2";"de bouwplan";"D N";"de#10786 bouwplannen#3"
"het geweld#unknown";"0";"1";"3";"het wellen";"Q V";"het#3561 geweld#11"
"de bezuinigingen#unknown";"0";"1";"8";"de bezuiniging";"D N";"de#10786 bezuinigingen#63"
"de crisis#unknown";"0";"1";"82";"de crisis";"D N";"de#10786 crisis#140"
"elk voorstel#unknown";"0";"1";"4";"elk voorstel";"D N";"elk#23 voorstel#46"
"een versterking#unknown";"0";"1";"5";"een versterking";"D N";"een#3166 versterking#10"
"het land#unknown";"0";"1";"139";"het land";"D N";"het#3561 land#277"
"frans-duitse as#unknown";"0";"1";"2";"Frans-Duitse as";"O N";"frans-duitse#13 as#7"
"de voorstellen#unknown";"0";"1";"9";"de voorstel";"D N";"de#10786 voorstellen#39"
"een akkoord#unknown";"0";"1";"41";"een akkoord";"D N";"een#3166 akkoord#110"
"een faillissement#unknown";"0";"1";"4";"een faillissement";"D N";"een#3166 faillissement#6"
"de onderhandelingen#unknown";"0";"1";"54";"de onderhandeling";"D N";"de#10786 onderhandelingen#98"
"visie over europa#unknown";"1";"1";"1";"visie over Europa";"N P R";"visie#37 over#894 europa#850"
"rechtvaardiger economisch beleid#unknown";"1";"1";"1";"rechtvaardig economisch beleid";"G G N";"rechtvaardiger#1 economisch#30 beleid#54"
"gecreëerd mag worden#unknown";"1";"1";"1";"creëren mogen worden";"V V V";"gecreëerd#3 mag#46 worden#415"
"een europees depositogarantiesysteem#unknown";"1";"1";"1";"een Europees depositogarantiesysteem";"D G O";"een#3166 europees#178 depositogarantiesysteem#1"
"snelle economsiche groei#unknown";"1";"1";"1";"snel economsiche groeien";"G O V";"snelle#4 economsiche#1 groei#172"
"concrete besluiten nemen#unknown";"1";"1";"1";"concreet besluit nemen";"G N V";"concrete#14 besluiten#15 nemen#70"
"duitse consumptie aanwakkeren#unknown";"1";"1";"1";"Duits consumptie aanwakkeren";"G N V";"duitse#581 consumptie#4 aanwakkeren#1"
"een kernwapenvrije wereld#unknown";"1";"1";"1";"een kernwapenvrij wereld";"D G N";"een#3166 kernwapenvrije#1 wereld#76"
"de aanhoudende schuldencrisis#unknown";"1";"1";"1";"de aanhoudend schuldencrisis";"D G O";"de#10786 aanhoudende#4 schuldencrisis#71"
"te harde bezuinigingen#unknown";"1";"1";"1";"te hard bezuiniging";"O G N";"te#1760 harde#23 bezuinigingen#63"
"het behaalde akkoord#unknown";"1";"1";"1";"het behalen akkoord";"D V N";"het#3561 behaalde#7 akkoord#110"
"eu-minister van financiën#unknown";"1";"1";"1";"EU-minister van financiën";"O P N";"eu-minister#2 van#4780 financiën#100"
"de forse bezuinigingen#unknown";"1";"1";"1";"de fors bezuiniging";"D G N";"de#10786 forse#10 bezuinigingen#63"
"op de bezuinigingswoede#unknown";"1";"1";"1";"op de bezuinigingswoede";"P D O";"op#1690 de#10786 bezuinigingswoede#1"
"schade voor bedrijven#unknown";"1";"1";"1";"schade voor bedrijf";"N P N";"schade#13 voor#1627 bedrijven#12"
"positie voor groot-brittannië#unknown";"1";"1";"1";"positie voor Groot-Brittannië";"N P R";"positie#15 voor#1627 groot-brittannië#141"
"de euro behouden#unknown";"1";"1";"1";"de euro behouden";"D N V";"de#10786 euro#317 behouden#20"
"merkels eigen cdu#unknown";"1";"1";"1";"Merkels eigen CDU";"O G O";"merkels#46 eigen#102 cdu#98"
"de frans-duitse vriendschap#unknown";"1";"1";"1";"de Frans-Duitse vriendschap";"D O N";"de#10786 frans-duitse#13 vriendschap#16"
"strenge aanpak eu-migranten#unknown";"1";"1";"1";"streng aanpak EU-migranten";"G N O";"strenge#22 aanpak#18 eu-migranten#3"
"afluisteren van bondgenoten#unknown";"1";"1";"1";"afluisteren van bondgenoot";"V P N";"afluisteren#22 van#4780 bondgenoten#26"
"het nieuwe begrotingspact#unknown";"1";"1";"1";"het nieuw begrotingspact";"D G O";"het#3561 nieuwe#316 begrotingspact#31"
"het gemeenschappelijke doel#unknown";"1";"1";"1";"het gemeenschappelijk doel";"D G N";"het#3561 gemeenschappelijke#22 doel#25"
"50 jaar vriendschap#unknown";"1";"1";"1";"@card@ jaar vriendschap";"O N N";"50#15 jaar#241 vriendschap#16"
"die 130 miljard#unknown";"1";"1";"1";"Die @card@ miljard";"O O O";"die#957 130#14 miljard#184"
"invloed brussel terugdringen#unknown";"1";"1";"1";"invloed Brussel terugdringen";"N R V";"invloed#26 brussel#221 terugdringen#7"
"de britse visie#unknown";"1";"1";"1";"de Brits visie";"D G N";"de#10786 britse#320 visie#37"
"over de kans#unknown";"1";"1";"1";"over de kans";"P D N";"over#894 de#10786 kans#34"
"de ingrijpende bezuinigingen#unknown";"1";"1";"1";"de ingrijpend bezuiniging";"D G N";"de#10786 ingrijpende#2 bezuinigingen#63"
"een duitse koerswijziging#unknown";"1";"1";"1";"een Duits koerswijziging";"D G O";"een#3166 duitse#581 koerswijziging#2"
"de duitse kracht#unknown";"1";"1";"1";"de Duits kracht";"D G N";"de#10786 duitse#581 kracht#26"
"het syrische bewind#unknown";"0";"2";"3";"het Syrische bewind";"D N N";"het#3561 syrische#34 bewind#8"
"voor vertrek britten#unknown";"0";"2";"4";"voor vertrek Brit";"P N N";"voor#1627 vertrek#35 britten#81"
"een zware strijd#unknown";"0";"2";"6";"een zwaar strijd";"D G N";"een#3166 zware#21 strijd#47"
"een grieks exit#unknown";"0";"2";"7";"een Grieks exit";"D G O";"een#3166 grieks#26 exit#19"
"het formidabele jaar#unknown";"0";"1";"2";"het formidabel jaar";"D G N";"het#3561 formidabele#2 jaar#241"
"van de begroting#unknown";"0";"1";"7";"van de begroting";"P D N";"van#4780 de#10786 begroting#81"
"de noodlijdende landen#unknown";"0";"1";"2";"de noodlijdend land";"D G N";"de#10786 noodlijdende#8 landen#305"
"groei in europa#unknown";"0";"1";"15";"groei in Europa";"N P R";"groei#172 in#3216 europa#850"
"10 procent compensatie#unknown";"0";"1";"5";"@card@ procent compensatie";"O N N";"10#47 procent#351 compensatie#5"
"een militaire oplossing#unknown";"0";"1";"2";"een militair oplossing";"D G N";"een#3166 militaire#22 oplossing#52"
"goede samenwerking hollande#unknown";"0";"1";"2";"goed samenwerking Hollande";"G N O";"goede#75 samenwerking#80 hollande#491"
"direct gekozen eu-president#unknown";"0";"1";"2";"direct kiezen EU-president";"G V O";"direct#29 gekozen#27 eu-president#24"
"een monetaire unie#unknown";"0";"1";"4";"een monetair unie";"D G N";"een#3166 monetaire#26 unie#322"
"de getroffen gebieden#unknown";"0";"1";"3";"de getroffen gebied";"D G N";"de#10786 getroffen#16 gebieden#10"
"landen als griekenland#unknown";"0";"1";"6";"land als Griekenland";"N C R";"landen#305 als#636 griekenland#305"
"europeaan te zijn#unknown";"0";"1";"3";"Europeaan te zijn";"N O V";"europeaan#12 te#1760 zijn#1296"
"in de gesprekken#unknown";"0";"1";"2";"in de gesprek";"P D N";"in#3216 de#10786 gesprekken#37"
"vertrouwen collega '#unknown";"0";"1";"2";"vertrouwen collega '";"V N O";"vertrouwen#47 collega#36 '#1990"
"de maritieme industrie#unknown";"0";"1";"3";"de maritiem industrie";"D G N";"de#10786 maritieme#6 industrie#6"
"de europese schuldencrisis#unknown";"0";"1";"22";"de Europees schuldencrisis";"D G O";"de#10786 europese#981 schuldencrisis#71"
"gebrek aan vertrouwen#unknown";"0";"1";"3";"gebrek aan vertrouwen";"N P V";"gebrek#5 aan#902 vertrouwen#47"
"over de eu#unknown";"0";"1";"11";"over de EU";"P D O";"over#894 de#10786 eu#349"
"franse socialist hollande#unknown";"0";"1";"2";"Frans socialist Hollande";"G N O";"franse#216 socialist#22 hollande#491"
"de grote lidstaten#unknown";"0";"1";"2";"de groot lidstaat";"D G N";"de#10786 grote#161 lidstaten#78"
"de duits-franse vriendschap#unknown";"0";"1";"3";"de Duits-Franse vriendschap";"D O N";"de#10786 duits-franse#5 vriendschap#16"
"pvv-leider geert wilders#unknown";"0";"1";"4";"PVV-leider Geert Wilders";"O O O";"pvv-leider#8 geert#7 wilders#19"
"de europese unie#unknown";"0";"1";"193";"de Europees unie";"D G N";"de#10786 europese#981 unie#322"
"bondskanselier angela merkel#unknown";"0";"1";"247";"bondskanselier Angela Merkel";"N O O";"bondskanselier#364 angela#359 merkel#1037"
"de europese leiders#unknown";"0";"1";"25";"de Europees leider";"D G N";"de#10786 europese#981 leiders#155"
"de administratieve kosten#unknown";"0";"1";"2";"de administratief kost";"D G N";"de#10786 administratieve#2 kosten#10"
"de twee landen#unknown";"0";"1";"9";"de twee land";"D O N";"de#10786 twee#152 landen#305"
"samen te werken#unknown";"0";"1";"12";"samen te werken";"A O V";"samen#150 te#1760 werken#47"
"de financiële crisis#unknown";"0";"1";"8";"de financieel crisis";"D G N";"de#10786 financiële#120 crisis#140"
"een nauwe samenwerking#unknown";"0";"1";"2";"een nauw samenwerking";"D G N";"een#3166 nauwe#28 samenwerking#80"
"geweld in syrië#unknown";"0";"1";"3";"wellen in Syrië";"V P R";"geweld#11 in#3216 syrië#80"
