"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"oplossing#i-positive";"0";"1";"52";"oplossing";"N";"oplossing#52"
"leiderschap#i-positive";"0";"1";"11";"leiderschap";"N";"leiderschap#11"
"hoop#i-positive";"0";"1";"71";"hoop";"V";"hoop#71"
"lasten#i-negative";"0";"1";"3";"last";"N";"lasten#3"
"moeten#d-positive";"0";"1";"290";"moeten";"V";"moeten#290"
"gebrek#i-negative";"0";"1";"5";"gebrek";"N";"gebrek#5"
"crisis#i-negative";"0";"1";"140";"crisis";"N";"crisis#140"
"ongerust#i-negative";"0";"1";"3";"ongerust";"G";"ongerust#3"
"aanbeval#d-positive";"0";"1";"2";"aanbevelen";"V";"aanbeval#2"
"nood#i-negative";"0";"1";"5";"nood";"N";"nood#5"
"voorstaat#i-positive";"0";"1";"6";"voorstaan";"V";"voorstaat#6"
"besparingsdrang#i-negative";"0";"1";"2";"besparingsdrang";"O";"besparingsdrang#2"
"groot#i-positive";"0";"1";"84";"groot";"G";"groot#84"
"sterke#i-positive";"0";"1";"19";"sterk";"G";"sterke#19"
"veroordeling#d-negative";"0";"1";"5";"veroordeling";"N";"veroordeling#5"
"radicale#i-positive";"0";"1";"6";"radicaal";"G";"radicale#6"
"betere#i-positive";"0";"1";"10";"goed";"G";"betere#10"
"aanval#d-negative";"0";"1";"16";"aanvallen";"V";"aanval#16"
"voortgang#i-positive";"0";"1";"5";"voortgang";"N";"voortgang#5"
"overeenstemming#d-positive";"0";"1";"24";"overeenstemming";"N";"overeenstemming#24"
"meent#d-neutral";"0";"1";"14";"menen";"V";"meent#14"
"beperkte#i-negative";"0";"1";"4";"beperkt";"G";"beperkte#4"
"zware#i-negative";"0";"1";"21";"zwaar";"G";"zware#21"
"feliciteer#d-positive";"0";"1";"12";"feliciteren";"V";"feliciteer#12"
"samenwerken#i-positive";"0";"1";"23";"samenwerken";"V";"samenwerken#23"
"soepeler#i-positive";"0";"1";"2";"soepel";"G";"soepeler#2"
"vreesde#d-negative";"0";"1";"4";"vrezen";"V";"vreesde#4"
"verdwijnt#d-negative";"0";"1";"6";"verdwijnen";"V";"verdwijnt#6"
"begrotingstekort#i-negative";"0";"1";"18";"begrotingstekort";"N";"begrotingstekort#18"
"niets#i-strongnegative";"0";"1";"60";"niets";"Q";"niets#60"
"schuldenproblematiek#i-negative";"0";"1";"2";"schuldenproblematiek";"O";"schuldenproblematiek#2"
"helpen#i-positive";"0";"1";"33";"helpen";"V";"helpen#33"
"enthousiast#d-positive";"0";"1";"4";"enthousiast";"G";"enthousiast#4"
"hekelt#d-negative";"0";"1";"2";"hekelen";"V";"hekelt#2"
"pijnlijk#i-negative";"0";"1";"5";"pijnlijk";"G";"pijnlijk#5"
"ingestemd#d-positive";"0";"1";"5";"instemmen";"V";"ingestemd#5"
"harde#i-negative";"0";"1";"23";"hard";"G";"harde#23"
"kans#d-positive";"0";"1";"34";"kans";"N";"kans#34"
"vinden#d-neutral";"0";"1";"66";"vinden";"V";"vinden#66"
"bestrijden#d-positive";"0";"1";"11";"bestrijden";"V";"bestrijden#11"
"vertrouwen#d-positive";"0";"1";"47";"vertrouwen";"V";"vertrouwen#47"
"geschikte#i-positive";"0";"1";"3";"geschikt";"G";"geschikte#3"
"optimistisch#d-positive";"0";"1";"9";"optimistisch";"G";"optimistisch#9"
"juiste#i-positive";"0";"1";"9";"juist";"G";"juiste#9"
"arrogantie#i-negative";"0";"1";"3";"arrogantie";"N";"arrogantie#3"
"getroffen#i-negative";"0";"1";"16";"getroffen";"G";"getroffen#16"
"nauw#i-positive";"0";"1";"16";"nauw";"N";"nauw#16"
"denkt#d-neutral";"0";"1";"29";"denken";"V";"denkt#29"
"stabiliseren#d-positive";"0";"1";"4";"stabiliseren";"V";"stabiliseren#4"
"wereldwijd#i-positive";"0";"1";"8";"wereldwijd";"G";"wereldwijd#8"
"weigert#d-negative";"0";"1";"6";"weigeren";"V";"weigert#6"
"invoering#d-positive";"0";"1";"35";"invoering";"N";"invoering#35"
"stopt#i-negative";"0";"1";"4";"stoppen";"V";"stopt#4"
"ingrijpende#i-negative";"0";"1";"2";"ingrijpend";"G";"ingrijpende#2"
"inspireert#d-strongpositive";"0";"1";"2";"inspireren";"V";"inspireert#2"
"betreurde#d-negative";"0";"1";"2";"betreuren";"V";"betreurde#2"
"eiste#d-positive";"0";"1";"6";"eisen";"V";"eiste#6"
"aanslag#i-negative";"0";"1";"2";"aanslag";"N";"aanslag#2"
"feliciteerde#d-positive";"0";"1";"17";"feliciteren";"V";"feliciteerde#17"
"verlagen#d-negative";"0";"1";"8";"verlagen";"V";"verlagen#8"
"bemoedigend#d-positive";"0";"1";"3";"bemoedigend";"G";"bemoedigend#3"
"weinig#i-negative";"0";"1";"43";"weinig";"O";"weinig#43"
"terecht#i-positive";"0";"1";"6";"Terecht";"O";"terecht#6"
"vond#d-neutral";"0";"1";"10";"vinden";"V";"vond#10"
"vriend#i-positive";"0";"1";"15";"vriend";"N";"vriend#15"
"verloren#i-negative";"0";"1";"39";"verliezen";"V";"verloren#39"
"stabiliteit#i-positive";"0";"1";"14";"stabiliteit";"N";"stabiliteit#14"
"steunt#positive";"0";"1";"12";"steunen";"V";"steunt#12"
"hoopt#d-positive";"0";"1";"32";"hopen";"V";"hoopt#32"
"steun#i-positive";"0";"1";"90";"steun";"N";"steun#90"
"pro-europees#i-positive";"0";"1";"4";"Pro-Europees";"O";"pro-europees#4"
"ongenoegen#i-negative";"0";"1";"5";"ongenoegen";"N";"ongenoegen#5"
"onrust#i-negative";"0";"1";"14";"onrust";"N";"onrust#14"
"stimuleren#i-positive";"0";"1";"31";"stimuleren";"V";"stimuleren#31"
"absurd#i-strongnegative";"0";"1";"5";"absurd";"G";"absurd#5"
"schade#d-negative";"0";"1";"13";"schade";"N";"schade#13"
"enthousiasme#i-strongpositive";"0";"1";"5";"enthousiasme";"N";"enthousiasme#5"
"sprak#d-neutral";"0";"1";"64";"spreken";"V";"sprak#64"
"hoop#d-positive";"0";"1";"71";"hoop";"V";"hoop#71"
"feest#i-positive";"0";"1";"3";"feest";"N";"feest#3"
"spreekt#d-neutral";"0";"1";"19";"spreken";"V";"spreekt#19"
"beschuldigen#d-negative";"0";"1";"2";"beschuldigen";"V";"beschuldigen#2"
"schuldencrisis#i-strongnegative";"0";"1";"71";"schuldencrisis";"O";"schuldencrisis#71"
"onhandig#i-negative";"0";"1";"4";"onhandig";"G";"onhandig#4"
"leidende#i-positive";"0";"1";"7";"leidend";"G";"leidende#7"
"gedreigd#d-negative";"0";"1";"11";"dreigen";"V";"gedreigd#11"
"geblokkeerd#d-negative";"0";"1";"2";"blokkeren";"V";"geblokkeerd#2"
"nederlaag#i-strongnegative";"0";"1";"13";"nederlaag";"N";"nederlaag#13"
"dramatische#i-strongnegative";"0";"1";"6";"dramatisch";"G";"dramatische#6"
"prijzen#d-positive";"0";"1";"11";"prijzen";"V";"prijzen#11"
"eensgezind#d-positive";"0";"1";"6";"eensgezind";"G";"eensgezind#6"
"beëindigen#d-negative";"0";"1";"6";"beëindigen";"V";"beëindigen#6"
"belangrijke#i-positive";"0";"1";"50";"belangrijk";"G";"belangrijke#50"
"bezuinigen#i-negative";"0";"1";"25";"bezuinigen";"V";"bezuinigen#25"
"kosten#i-negative";"0";"1";"10";"kost";"N";"kosten#10"
"afgebroken#i-negative";"0";"1";"2";"afbreken";"V";"afgebroken#2"
"verlaging#i-negative";"0";"1";"11";"verlaging";"N";"verlaging#11"
"openlijk#i-negative";"0";"1";"13";"openlijk";"G";"openlijk#13"
"bezuinigingen#i-negative";"0";"1";"63";"bezuiniging";"N";"bezuinigingen#63"
"opzeggen#d-negative";"0";"1";"2";"opzeggen";"N";"opzeggen#2"
"crisisbestrijding#i-positive";"0";"1";"2";"crisisbestrijding";"O";"crisisbestrijding#2"
"bevriezing#d-negative";"0";"1";"4";"bevriezing";"N";"bevriezing#4"
"genoeg#i-positive";"0";"1";"31";"genoeg";"A";"genoeg#31"
"inspireerde#i-positive";"0";"1";"2";"inspireren";"V";"inspireerde#2"
"verergert#i-negative";"0";"1";"2";"verergeren";"V";"verergert#2"
"beschadigen#i-negative";"0";"1";"2";"beschadigen";"V";"beschadigen#2"
"uniek#i-positive";"0";"1";"6";"uniek";"G";"uniek#6"
"onzekerheid#i-negative";"0";"1";"15";"onzekerheid";"N";"onzekerheid#15"
"relatie#i-positive";"0";"1";"66";"relatie";"N";"relatie#66"
"terughalen#d-negative";"0";"1";"12";"terughalen";"V";"terughalen#12"
"vertrek#i-negative";"0";"1";"35";"vertrek";"N";"vertrek#35"
"ontkent#d-negative";"0";"1";"11";"ontkennen";"V";"ontkent#11"
"hysterie#i-negative";"0";"1";"2";"hysterie";"N";"hysterie#2"
"verschillende#i-positive";"0";"1";"47";"verschillend";"G";"verschillende#47"
"somber#i-negative";"0";"1";"2";"somber";"G";"somber#2"
"dood#i-strongnegative";"0";"1";"10";"dood";"N";"dood#10"
"ergste#i-strongnegative";"0";"1";"10";"erg|kwaad";"G";"ergste#10"
"toenemen#d-positive";"0";"1";"3";"toenemen";"V";"toenemen#3"
"noodlijdende#i-negative";"0";"1";"8";"noodlijdend";"G";"noodlijdende#8"
"schulden#i-negative";"0";"1";"34";"schuld";"N";"schulden#34"
"optimisme#i-positive";"0";"1";"4";"optimisme";"N";"optimisme#4"
"vrees#d-negative";"0";"1";"11";"vrezen";"V";"vrees#11"
"immens#i-strongpositive";"0";"1";"2";"immens";"G";"immens#2"
"slecht#d-negative";"0";"1";"29";"slecht";"G";"slecht#29"
"ernstige#d-strongnegative";"0";"1";"11";"ernstig";"G";"ernstige#11"
"soevereiniteit#i-positive";"0";"1";"10";"soevereiniteit";"N";"soevereiniteit#10"
"vrezen#d-strongnegative";"0";"1";"9";"vrezen";"V";"vrezen#9"
"grote#i-positive";"0";"1";"161";"groot";"G";"grote#161"
"prees#d-strongpositive";"0";"1";"12";"prijzen";"V";"prees#12"
"tevreden#i-positive";"0";"1";"14";"tevreden";"G";"tevreden#14"
"beperken#d-negative";"0";"1";"4";"beperken";"V";"beperken#4"
"voldoende#i-positive";"0";"1";"20";"voldoende";"G";"voldoende#20"
"slachtoffers#i-negative";"0";"1";"5";"slachtoffer";"N";"slachtoffers#5"
"stelt#d-neutral";"0";"1";"43";"stellen";"V";"stelt#43"
"pleitte ervoor#d-positive";"1";"2";"2";"pleiten ervoor";"V Q";"pleitte#23 ervoor#16"
"scherp veroordeeld#d-strongnegative";"1";"1";"1";"scherp veroordelen";"N V";"scherp#11 veroordeeld#5"
"lijkt stabiel#i-positive";"1";"1";"1";"lijken stabiel";"V G";"lijkt#40 stabiel#5"
"daalde dramatisch#i-strongnegative";"1";"1";"1";"dalen dramatisch";"V G";"daalde#16 dramatisch#7"
"extra steun#i-positive";"1";"1";"1";"extra steun";"G N";"extra#62 steun#90"
"gecompliceerde verhouding#i-negative";"1";"1";"1";"gecompliceerd verhouding";"G N";"gecompliceerde#1 verhouding#6"
"ongerust maken#d-negative";"1";"1";"1";"ongerust maken";"G V";"ongerust#3 maken#103"
"kunnen slagen#i-positive";"1";"1";"1";"kunnen slagen";"V V";"kunnen#235 slagen#7"
"ontzettend nodig#i-strongpositive";"1";"1";"1";"ontzettend nodig";"A G";"ontzettend#2 nodig#124"
"diep bezorgd#i-strongnegative";"1";"1";"1";"diep bezorgen";"A V";"diep#5 bezorgd#8"
"bespioneren niet#i-negative";"1";"1";"1";"bespioneren niet";"V A";"bespioneren#5 niet#1140"
"uitermate dramatisch#i-strongnegative";"1";"1";"1";"uitermate dramatisch";"A G";"uitermate#3 dramatisch#7"
"schadelijke onthullingen#i-negative";"1";"1";"1";"schadelijk onthulling";"G N";"schadelijke#2 onthullingen#21"
"weer samenbrengen#i-positive";"1";"1";"1";"weer samenbrengen";"A V";"weer#91 samenbrengen#3"
"zijn dankbaar#d-positive";"1";"1";"1";"zijn dankbaar";"V G";"zijn#1296 dankbaar#3"
"te onduidelijk#i-negative";"1";"1";"1";"te onduidelijk";"O G";"te#1760 onduidelijk#5"
"hele sterke#i-strongpositive";"1";"1";"1";"heel sterk";"G G";"hele#54 sterke#19"
"extreem gevaarlijk#i-strongnegative";"1";"1";"1";"extreem gevaarlijk";"G G";"extreem#5 gevaarlijk#6"
"ontzettend jammer#d-strongnegative";"1";"1";"1";"ontzettend jammer";"A G";"ontzettend#2 jammer#6"
"geen duidelijke#i-negative";"1";"1";"1";"geen duidelijk";"D G";"geen#347 duidelijke#15"
"groot politica#i-positive";"1";"1";"1";"groot politica";"G N";"groot#84 politica#8"
"minder omslachtige#i-positive";"1";"1";"1";"min omslachtig";"G G";"minder#91 omslachtige#1"
"een dictatuur#i-strongnegative";"1";"1";"1";"een dictatuur";"D N";"een#3166 dictatuur#3"
"te zacht#i-negative";"1";"1";"1";"te zacht";"O G";"te#1760 zacht#1"
"volstrekt onacceptabel#i-strongnegative";"1";"1";"1";"volstrekt onacceptabel";"G G";"volstrekt#8 onacceptabel#5"
"zal naleven#d-positive";"1";"1";"1";"zullen naleven";"V V";"zal#379 naleven#3"
"zeer bijzonder#i-strongpositive";"1";"1";"1";"zeer bijzonder";"G G";"zeer#64 bijzonder#23"
"grote premier#i-positive";"1";"1";"1";"groot premier";"G N";"grote#161 premier#476"
"grote brit#i-positive";"1";"1";"1";"groot Brit";"G N";"grote#161 brit#5"
"en leiden#i-positive";"1";"1";"1";"en leiden";"C V";"en#2788 leiden#26"
"een eurofiel#i-negative";"1";"1";"1";"een eurofiel";"D O";"een#3166 eurofiel#2"
"demonstreren tegen#d-negative";"1";"1";"1";"demonstreren tegen";"V P";"demonstreren#2 tegen#278"
"een drama#i-strongnegative";"1";"1";"1";"een drama";"D N";"een#3166 drama#6"
"niet mogelijk#i-negative";"1";"1";"1";"niet mogelijk";"A G";"niet#1140 mogelijk#106"
"willen stopzetten#d-negative";"1";"1";"1";"willen stopzetten";"V V";"willen#218 stopzetten#1"
"intelligent mens#i-positive";"1";"1";"1";"intelligent mens";"G N";"intelligent#1 mens#7"
"echte doorbraak#i-strongpositive";"1";"1";"1";"echt doorbraak";"G N";"echte#32 doorbraak#3"
"geen makkelijke#i-negative";"1";"1";"1";"geen makkelijk";"D G";"geen#347 makkelijke#2"
"sterk genoeg#i-positive";"1";"1";"1";"sterk genoeg";"G A";"sterk#25 genoeg#31"
"onnodig ruwe#i-negative";"1";"1";"1";"onnodig ruwe";"G N";"onnodig#1 ruwe#1"
"in opspraak#i-negative";"1";"1";"1";"in opspraak";"P N";"in#3216 opspraak#1"
"geen hulp#i-negative";"1";"1";"1";"geen hulp";"D N";"geen#347 hulp#40"
"optreden tegen#d-negative";"1";"1";"1";"optreden tegen";"V P";"optreden#9 tegen#278"
"inhoudelijk ongeloofwaardig#i-negative";"1";"1";"1";"inhoudelijk ongeloofwaardig";"G G";"inhoudelijk#2 ongeloofwaardig#3"
"echter optimistisch#i-positive";"1";"1";"1";"echter optimistisch";"A G";"echter#67 optimistisch#9"
"voorvechter van#d-positive";"1";"1";"1";"voorvechter van";"N P";"voorvechter#1 van#4780"
"pleit voor#d-positive";"0";"3";"12";"pleit voor";"N P";"pleit#20 voor#1627"
"hamert op#d-positive";"0";"2";"6";"hameren op";"V P";"hamert#9 op#1690"
"goede dag#i-positive";"0";"2";"6";"goed dag";"G N";"goede#75 dag#80"
"zijn tegen#d-negative";"0";"2";"4";"zijn tegen";"V P";"zijn#1296 tegen#278"
"meest geschikte#i-positive";"0";"2";"3";"meest geschikt";"G G";"meest#19 geschikte#3"
"persoonlijke samenwerking#i-positive";"0";"1";"3";"persoonlijk samenwerking";"G N";"persoonlijke#17 samenwerking#80"
"eenzijdig simpelweg#i-negative";"0";"1";"2";"eenzijdig simpelweg";"G A";"eenzijdig#2 simpelweg#4"
"echt onvoldoende#i-strongnegative";"0";"1";"4";"echt onvoldoend|onvoldoende";"G G";"echt#36 onvoldoende#7"
"is blij#d-positive";"0";"1";"4";"zijn blij";"V G";"is#1599 blij#23"
"vijand van#i-positive";"0";"1";"2";"vijand van";"N P";"vijand#3 van#4780"
"klinkt onvrede#d-negative";"0";"1";"2";"klinken onvrede";"V N";"klinkt#8 onvrede#5"
"niet voldoende#i-negative";"0";"1";"3";"niet voldoende";"A G";"niet#1140 voldoende#20"
"niet minder#i-positive";"0";"1";"6";"niet min";"A G";"niet#1140 minder#91"
"geen prioriteit#i-negative";"0";"1";"2";"geen prioriteit";"D N";"geen#347 prioriteit#8"
"wil graag#d-strongpositive";"0";"1";"2";"wil graag";"N G";"wil#398 graag#26"
"hoopt op#d-positive";"0";"1";"2";"hopen op";"V P";"hoopt#32 op#1690"
"moet niet#d-negative";"0";"1";"4";"moeten niet";"V A";"moet#374 niet#1140"
"gaat voor#d-positive";"0";"1";"3";"gaan voor";"V P";"gaat#156 voor#1627"
"geen eenvoudige#i-negative";"0";"1";"3";"geen eenvoudig";"D G";"geen#347 eenvoudige#6"
"de oplossing#i-positive";"0";"1";"13";"de oplossing";"D N";"de#10786 oplossing#52"
"pratende stropdas#i-negative";"0";"1";"2";"pratende stropdas";"N N";"pratende#2 stropdas#2"
"de bevriezing#i-negative";"0";"1";"2";"de bevriezing";"D N";"de#10786 bevriezing#4"
"warme gelukwensen#d-positive";"0";"1";"2";"warme gelukwensen";"N V";"warme#8 gelukwensen#8"
"te lijf#d-negative";"0";"1";"2";"te lijf";"O N";"te#1760 lijf#2"
"wil niet#d-negative";"0";"1";"9";"willen niet";"V A";"wil#398 niet#1140"
"een historische#i-strongpositive";"0";"1";"7";"een historisch";"D G";"een#3166 historische#20"
"nog meer#i-positive";"0";"1";"14";"nog meer";"A A";"nog#400 meer#506"
"nationaal belang#i-positive";"0";"1";"2";"nationaal belang";"G N";"nationaal#19 belang#56"
"wil onmiddellijk#d-strongpositive";"0";"1";"3";"willen onmiddellijk";"V G";"wil#398 onmiddellijk#17"
"grote leider#i-positive";"0";"1";"3";"groot leider";"G N";"grote#161 leider#62"
"geen geval#i-negative";"0";"1";"4";"geen geval";"D N";"geen#347 geval#27"
"een aansporing#i-positive";"0";"1";"3";"een aansporing";"D N";"een#3166 aansporing#3"
"maatregelen tegen#d-negative";"0";"1";"5";"maatregel tegen";"N P";"maatregelen#69 tegen#278"
"te hoog#i-negative";"0";"1";"3";"te hoog";"O G";"te#1760 hoog#13"
"stemde tegen#d-negative";"0";"1";"2";"stemmen tegen";"V P";"stemde#5 tegen#278"
"opriepen tot#d-positive";"0";"1";"2";"oproepen tot";"V P";"opriepen#2 tot#389"
"verhogen druk#d-negative";"0";"1";"2";"verhoog druk";"N G";"verhogen#12 druk#53"
"vooruitgang boeken#i-positive";"0";"1";"2";"vooruitgang boeken";"N V";"vooruitgang#15 boeken#6"
"kiezen voor#d-positive";"0";"1";"3";"kiezen voor";"V P";"kiezen#28 voor#1627"
"kritiek op#i-negative";"0";"1";"19";"kritiek op";"N P";"kritiek#52 op#1690"
"protesteren tegen#d-negative";"0";"1";"3";"protesteren tegen";"V P";"protesteren#3 tegen#278"
"onvermijdelijk is#i-positive";"0";"1";"5";"onvermijdelijk zijn";"G V";"onvermijdelijk#12 is#1599"
"grote onzin#i-strongnegative";"0";"1";"3";"groot onzin";"G N";"grote#161 onzin#3"
"buitengewoon ernstig#i-strongnegative";"0";"1";"2";"buitengewoon ernstig";"G G";"buitengewoon#3 ernstig#11"
"erg complex#i-strongnegative";"0";"1";"2";"erg complex";"G N";"erg#44 complex#3"
"voortwoekerende schuldencrisis#i-negative";"0";"1";"2";"voortwoekeren schuldencrisis";"V O";"voortwoekerende#3 schuldencrisis#71"
"bang voor#d-negative";"0";"1";"6";"bang voor";"G P";"bang#14 voor#1627"
"maar meer#d-positive";"0";"1";"3";"maar meer";"A A";"maar#619 meer#506"
"zullen aanzwengelen#i-positive";"0";"1";"2";"zullen aanzwengelen";"V V";"zullen#150 aanzwengelen#3"
"ervan overtuigd#d-positive";"0";"1";"12";"ervan overtuigen";"Q V";"ervan#38 overtuigd#17"
"stelt voor#d-positive";"0";"1";"9";"stellen voor";"V P";"stelt#43 voor#1627"
