********************************************************************************************
 OpeNER crosslingual sentiment lexicon : crosslingual scales grouped in aspect groups 
 Owner OpeNER and VU-UniversityAmsterdam (CLTL)
 de(german) nl(dutch) fr(french) it(italian) es(spanish) en(english)
********************************************************************************************


language;entry;sentiment;aspectCategory;clsId
es;atentos;positive;BEHAVIOUR;59
fr;attentif;positive;BEHAVIOUR;59
fr;attentifs;positive;BEHAVIOUR;59
fr;attentionné;positive;BEHAVIOUR;59
it;attento;positive;BEHAVIOUR;59
it;premuroso;positive;BEHAVIOUR;59
nl;attent;positive;BEHAVIOUR;59
de;deutschsprachig;positive;BEHAVIOUR;60
de;die freundlich Begrüßung;positive;BEHAVIOUR;61
de;durchweg hilfsbereit;positive;BEHAVIOUR;62
de;immer hilfsbereit;strongpositive;BEHAVIOUR;62
en;always helpful;strongpositive;BEHAVIOUR;62
it;sempre disponibile;positive;BEHAVIOUR;62
de;fleißig;positive;BEHAVIOUR;63
de;freundlich;positive;BEHAVIOUR;64
en;friendly;positive;BEHAVIOUR;64
it;gentilissimo;positive;BEHAVIOUR;64
nl;vriendelijk;positive;BEHAVIOUR;64
de;Freundlichkeit;positive;BEHAVIOUR;65
fr;gentillesse;positive;BEHAVIOUR;65
it;cordialita';positive;BEHAVIOUR;65
it;gentilezza;positive;BEHAVIOUR;65
nl;vriendelijkheid;positive;BEHAVIOUR;65
de;herzlich;positive;BEHAVIOUR;66
es;cordial;positive;BEHAVIOUR;66
it;cordiale;positive;BEHAVIOUR;66
de;hilfsbereit;positive;BEHAVIOUR;67
en;available;positive;BEHAVIOUR;67
en;helpful;positive;BEHAVIOUR;67
en;helpfull;positive;BEHAVIOUR;67
es;servicial;positive;BEHAVIOUR;67
fr;disponible;positive;BEHAVIOUR;67
fr;serviable;positive;BEHAVIOUR;67
it;disponibile;positive;BEHAVIOUR;67
nl;behulpzaam;positive;BEHAVIOUR;67
de;Hilfsbereitschaft;positive;BEHAVIOUR;68
de;höflich;positive;BEHAVIOUR;69
es;educado;positive;BEHAVIOUR;69
fr;courtois;positive;BEHAVIOUR;69
fr;poli;positive;BEHAVIOUR;69
it;cortese;positive;BEHAVIOUR;69
de;idyllisch;positive;BEHAVIOUR;70
de;immer höfflich;positive;BEHAVIOUR;71
de;kompetent;positive;BEHAVIOUR;72
en;competent;positive;BEHAVIOUR;72
es;competente;positive;BEHAVIOUR;72
fr;compétent;positive;BEHAVIOUR;72
it;competente;positive;BEHAVIOUR;72
de;Kompetenz;positive;BEHAVIOUR;73
de;sehr familienfreundlich;positive;BEHAVIOUR;74
de;sehr freundlich;positive;BEHAVIOUR;75
en;very friendly;strongpositive;BEHAVIOUR;75
es;muy amable;strongpositive;BEHAVIOUR;75
es;muy amables;strongpositive;BEHAVIOUR;75
fr;très sympathique;strongpositive;BEHAVIOUR;75
it;molto cordiale;positive;BEHAVIOUR;75
nl;zeer vriendelijk;strongpositive;BEHAVIOUR;75
de;sehr hilfsbereit;positive;BEHAVIOUR;76
en;very helpful;strongpositive;BEHAVIOUR;76
en;very helpfull;strongpositive;BEHAVIOUR;76
es;muy atentos;strongpositive;BEHAVIOUR;76
es;muy servicial;strongpositive;BEHAVIOUR;76
es;muy serviciales;strongpositive;BEHAVIOUR;76
fr;très serviable;positive;BEHAVIOUR;76
fr;tres serviable;strongpositive;BEHAVIOUR;76
it;molto disponibile;positive;BEHAVIOUR;76
nl;erg behulpzaam;strongpositive;BEHAVIOUR;76
nl;heel behulpzaam;strongpositive;BEHAVIOUR;76
nl;zeer behulpzaam;strongpositive;BEHAVIOUR;76
nl;zeer hulpvaardig;strongpositive;BEHAVIOUR;76
de;sehr nett;positive;BEHAVIOUR;77
de;sprechen gut englisch;positive;BEHAVIOUR;78
de;über alle Maß freundlich;positive;BEHAVIOUR;79
de;ausnehmend freundlich;strongpositive;BEHAVIOUR;80
de;äußerst aufmerksam;strongpositive;BEHAVIOUR;81
de;immer freundlich;strongpositive;BEHAVIOUR;82
de;sehr herzlich;strongpositive;BEHAVIOUR;83
es;muy cordial;strongpositive;BEHAVIOUR;83
de;sehr kinderfreundlich;strongpositive;BEHAVIOUR;84
nl;zeer kind vriendelijk;strongpositive;BEHAVIOUR;84
de;sehr professionell;strongpositive;BEHAVIOUR;85
en;very professional;strongpositive;BEHAVIOUR;85
fr;très professionnel;strongpositive;BEHAVIOUR;85
it;molto professionale;positive;BEHAVIOUR;85
de;sehr zuvorkommend;strongpositive;BEHAVIOUR;86
fr;tres courtois;strongpositive;BEHAVIOUR;86
it;molto cortese;positive;BEHAVIOUR;86
de;total freundlich;strongpositive;BEHAVIOUR;87
de;total leck;strongpositive;BEHAVIOUR;88
en;always smile;positive;BEHAVIOUR;89
fr;toujours souriant;strongpositive;BEHAVIOUR;89
en;answer politely;positive;BEHAVIOUR;90
en;available all day long;positive;BEHAVIOUR;91
en;can speak good english;positive;BEHAVIOUR;92
en;charme;positive;BEHAVIOUR;93
es;encanto;strongpositive;BEHAVIOUR;93
en;come quickly;positive;BEHAVIOUR;94
en;contemporary;positive;BEHAVIOUR;95
en;efficient;positive;BEHAVIOUR;96
es;eficaz;positive;BEHAVIOUR;96
es;eficiente;positive;BEHAVIOUR;96
fr;efficace;positive;BEHAVIOUR;96
it;efficiente;positive;BEHAVIOUR;96
it;efficientissimo;positive;BEHAVIOUR;96
nl;efficiente;positive;BEHAVIOUR;96
en;help quickly;positive;BEHAVIOUR;97
en;include;positive;BEHAVIOUR;98
es;destacamos;positive;BEHAVIOUR;98
it;includere;positive;BEHAVIOUR;98
en;kind;positive;BEHAVIOUR;99
it;gentile;positive;BEHAVIOUR;99
en;kindly help;positive;BEHAVIOUR;100
en;professional;positive;BEHAVIOUR;101
es;profesional;positive;BEHAVIOUR;101
it;professionale;positive;BEHAVIOUR;101
en;quite swift;positive;BEHAVIOUR;102
en;very fast;strongpositive;BEHAVIOUR;102
es;muy rápidos;strongpositive;BEHAVIOUR;102
fr;très rapide;strongpositive;BEHAVIOUR;102
en;smile;positive;BEHAVIOUR;103
fr;souriant;positive;BEHAVIOUR;103
en;so helpful;positive;BEHAVIOUR;104
en;so kind;positive;BEHAVIOUR;105
en;the only efficient staff;positive;BEHAVIOUR;106
en;understanding;positive;BEHAVIOUR;107
en;welcome;positive;BEHAVIOUR;108
fr;bon accueil;positive;BEHAVIOUR;108
fr;accueil;negative;BEHAVIOUR;108
it;accolti;positive;BEHAVIOUR;108
it;ben accolti;positive;BEHAVIOUR;108
nl;vriendelijk ontvangen;positive;BEHAVIOUR;108
nl;welkom;positive;BEHAVIOUR;108
en;really kind;strongpositive;BEHAVIOUR;109
en;really professionell;strongpositive;BEHAVIOUR;110
en;speak excellent english;strongpositive;BEHAVIOUR;111
en;very attentive;strongpositive;BEHAVIOUR;112
es;muy atenta;strongpositive;BEHAVIOUR;112
es;muy atento;strongpositive;BEHAVIOUR;112
en;very helpful;strongpositive;BEHAVIOUR;113
it;molto disponibile;positive;BEHAVIOUR;113
nl;zeer hulpvaardig;strongpositive;BEHAVIOUR;113
es;habla español;positive;BEHAVIOUR;114
es;habla inglés;positive;BEHAVIOUR;115
es;humano;positive;BEHAVIOUR;116
es;respetuoso;positive;BEHAVIOUR;117
es;es muy agradable;strongpositive;BEHAVIOUR;118
es;es muy atento;strongpositive;BEHAVIOUR;119
es;fueron muy atentos;strongpositive;BEHAVIOUR;120
es;grandes profesionales;strongpositive;BEHAVIOUR;121
es;más que atento;strongpositive;BEHAVIOUR;122
es;muy educados;strongpositive;BEHAVIOUR;123
es;realmente atento;strongpositive;BEHAVIOUR;124
es;siempre tan amable;strongpositive;BEHAVIOUR;125
es;trato super amable;strongpositive;BEHAVIOUR;126
fr;, et sympa;positive;BEHAVIOUR;127
fr;assez compétent;positive;BEHAVIOUR;128
fr;avoir recommander;positive;BEHAVIOUR;129
fr;globalement sympa;positive;BEHAVIOUR;130
fr;plutôt sympa;positive;BEHAVIOUR;131
fr;simpas;positive;BEHAVIOUR;132
fr;somptueux;positive;BEHAVIOUR;133
fr;sympathie;positive;BEHAVIOUR;134
it;simpatia;positive;BEHAVIOUR;134
fr;très acceuillant;positive;BEHAVIOUR;135
fr;tres acceuillant;strongpositive;BEHAVIOUR;135
it;molto accogliente;positive;BEHAVIOUR;135
fr;très agrèable;positive;BEHAVIOUR;136
fr;tres sympatiques;positive;BEHAVIOUR;137
fr;absolument charmant;strongpositive;BEHAVIOUR;138
fr;être très gentil;strongpositive;BEHAVIOUR;139
fr;être très rapide;strongpositive;BEHAVIOUR;140
fr;plein d' humour;strongpositive;BEHAVIOUR;141
fr;plus accueillant;strongpositive;BEHAVIOUR;142
fr;très efficace;strongpositive;BEHAVIOUR;143
it;molto efficiente;strongpositive;BEHAVIOUR;143
fr;tres sympatique serviable;strongpositive;BEHAVIOUR;144
fr;un charmante;strongpositive;BEHAVIOUR;145
fr;un professionalisme certain;strongpositive;BEHAVIOUR;146
fr;vraiiment sympa;strongpositive;BEHAVIOUR;147
fr;vraiment adorable;strongpositive;BEHAVIOUR;148
it;cortesia;positive;BEHAVIOUR;149
it;decisamente bello;positive;BEHAVIOUR;150
it;sempre attento;positive;BEHAVIOUR;151
it;sempre molto educato;positive;BEHAVIOUR;152
it;veramente efficiente;positive;BEHAVIOUR;153
it;estremamente educato;strongpositive;BEHAVIOUR;154
it;fortemente consigliare;strongpositive;BEHAVIOUR;155
it;grande disponibilita';strongpositive;BEHAVIOUR;156
it;grande professionalita';strongpositive;BEHAVIOUR;157
it;incredibilmente gentile;strongpositive;BEHAVIOUR;158
it;molto molto disponibile;strongpositive;BEHAVIOUR;159
it;sempre molto cortese;strongpositive;BEHAVIOUR;160
it;squisitamente gentile;strongpositive;BEHAVIOUR;161
nl;engels sprekend;positive;BEHAVIOUR;162
nl;gastvrij;positive;BEHAVIOUR;163
nl;gevoel voor humor;positive;BEHAVIOUR;164
nl;helemaal niet opdringerig;positive;BEHAVIOUR;165
nl;hielp goed;positive;BEHAVIOUR;166
nl;hulp;positive;BEHAVIOUR;167
nl;met veel humor;positive;BEHAVIOUR;168
nl;spreek engels en duits;positive;BEHAVIOUR;169
nl;spreekt goed engels;positive;BEHAVIOUR;170
nl;vriendelijk en gastvrij geholpen;positive;BEHAVIOUR;171
nl;was prettig;positive;BEHAVIOUR;172
nl;was wel klantvriendelijk;positive;BEHAVIOUR;173
nl;wel vriendelijk;positive;BEHAVIOUR;174
nl;werden goed geholpen door;positive;BEHAVIOUR;175
nl;zijn allemaal even vriendelijk;positive;BEHAVIOUR;176
nl;zijn vriendelijke;positive;BEHAVIOUR;177
nl;spreekt erg goed engels;strongpositive;BEHAVIOUR;178
de;an Rand kaputt;negative;CLEAN;179
de;blättern die Farbe ab;negative;CLEAN;180
de;Blutfleck;negative;CLEAN;181
nl;bloedvlekken;strongnegative;CLEAN;181
de;defekt;negative;CLEAN;182
en;faulty;negative;CLEAN;182
it;difettoso;negative;CLEAN;182
nl;defecte;negative;CLEAN;182
de;feucht;negative;CLEAN;183
en;humid;negative;CLEAN;183
nl;vochtig;negative;CLEAN;183
de;Flecken;negative;CLEAN;184
en;stained;negative;CLEAN;184
en;with stains;negative;CLEAN;184
de;fleckig;negative;CLEAN;185
es;llena de manchas;negative;CLEAN;185
de;heruntergekommen;negative;CLEAN;186
it;fatiscente;negative;CLEAN;186
de;mies;negative;CLEAN;187
de;lausig;strongnegative;CLEAN;187
en;lousy;strongnegative;CLEAN;187
de;nicht geputzt;negative;CLEAN;188
de;nicht gereinigt;negative;CLEAN;188
de;nicht ordentlich geputzt;negative;CLEAN;189
de;nicht richtig sauber;negative;CLEAN;190
de;schlecht gereinigt;negative;CLEAN;190
de;nicht sauber;negative;CLEAN;191
en;not clean;negative;CLEAN;191
en;not that clean;negative;CLEAN;191
fr;pas propre;negative;CLEAN;191
nl;niet schoon;negative;CLEAN;191
fr;pas nettoyé;strongnegative;CLEAN;191
de;nicht sehr sauber;negative;CLEAN;192
nl;niet heel schoon;negative;CLEAN;192
de;nicht unbedingt sauber;negative;CLEAN;193
de;nicht wirklich sauber;negative;CLEAN;193
fr;pas vraiment propre;negative;CLEAN;193
nl;niet echt schoon;negative;CLEAN;193
de;nur oberflächlich sauber;negative;CLEAN;194
de;Schimmel;negative;CLEAN;195
de;schimmeln;negative;CLEAN;195
de;Schwarzschimmel;strongnegative;CLEAN;195
nl;schimmel;negative;CLEAN;195
de;schmutzig;negative;CLEAN;196
en;dirty;negative;CLEAN;196
es;sucio;negative;CLEAN;196
fr;sale;negative;CLEAN;196
it;sporco;negative;CLEAN;196
nl;vies;negative;CLEAN;196
de;Seifenreste;negative;CLEAN;197
de;Staub;negative;CLEAN;198
de;stickig;negative;CLEAN;199
fr;exigu;negative;CLEAN;199
nl;benauwd;negative;CLEAN;199
de;teilweise verfleckt;negative;CLEAN;200
de;überall Flecken;negative;CLEAN;201
de;verkrusten;negative;CLEAN;202
de;Wasserfleck;negative;CLEAN;203
de;fürchterlich stinkend;strongnegative;CLEAN;204
de;riechen sehr unangenehm;strongnegative;CLEAN;205
de;sehr dreckig !;strongnegative;CLEAN;206
en;always dirty;negative;CLEAN;207
en;cracked;negative;CLEAN;208
en;ruin;negative;CLEAN;209
en;smelly;negative;CLEAN;210
fr;mauvais odeur;negative;CLEAN;210
en;smoke;negative;CLEAN;211
en;torn;negative;CLEAN;212
fr;déchirer;negative;CLEAN;212
it;strappato;negative;CLEAN;212
en;uncomfortable smell;negative;CLEAN;213
en;a really dirty place;strongnegative;CLEAN;214
en;crappy;strongnegative;CLEAN;215
es;cutres;negative;CLEAN;215
es;incomodas;negative;CLEAN;215
en;heavily stained;strongnegative;CLEAN;216
es;a veces no limpiaron;negative;CLEAN;217
es;manchas;negative;CLEAN;218
nl;vlekken;negative;CLEAN;218
es;ni limpiaron;negative;CLEAN;219
es;no limpian;negative;CLEAN;220
es;no nos limpiaba;negative;CLEAN;221
fr;pas tres propre;negative;CLEAN;222
fr;hypers sale;strongnegative;CLEAN;223
fr;plutôt très sale;strongnegative;CLEAN;224
fr;poils;strongnegative;CLEAN;225
nl;haren;negative;CLEAN;225
it;molesto;negative;CLEAN;226
it;odore di stantio;negative;CLEAN;227
it;poco pulire;negative;CLEAN;228
it;rotto;negative;CLEAN;229
it;senso di sporco;negative;CLEAN;230
it;staccato;negative;CLEAN;231
nl;afgebladerd;negative;CLEAN;232
nl;erg rommelig;negative;CLEAN;233
nl;flinke zwarte vochtplekken;negative;CLEAN;234
nl;kapot;negative;CLEAN;235
nl;kapotte;negative;CLEAN;236
nl;niet dagelijks verschoond;negative;CLEAN;237
nl;niet rookvrij;negative;CLEAN;238
nl;roestplekken;negative;CLEAN;239
nl;scheur;negative;CLEAN;240
nl;veel vlekken;negative;CLEAN;241
nl;vettigheid;negative;CLEAN;242
nl;vies bruin;negative;CLEAN;243
nl;echt smerig;strongnegative;CLEAN;244
nl;gewoonweg vies;strongnegative;CLEAN;245
nl;naar rotte eieren stinkende;strongnegative;CLEAN;246
nl;ronduit vuil;strongnegative;CLEAN;247
nl;te vuil;strongnegative;CLEAN;248
nl;walgelijk;strongnegative;CLEAN;249
nl;walgelijke snoepgeur;strongnegative;CLEAN;250
de;annehmbar sauber;positive;CLEAN;251
de;eine sauber Eindruck;positive;CLEAN;252
de;farblich aufeinander abgestimmt;positive;CLEAN;253
de;grundsätzlich sauber;positive;CLEAN;254
de;halbwegs sauber;positive;CLEAN;255
en;clean enough;positive;CLEAN;255
es;bastante limpia;positive;CLEAN;255
es;bastante limpio;positive;CLEAN;255
it;abbastanza pulito;positive;CLEAN;255
it;discretamente pulire;positive;CLEAN;255
nl;redelijk schoon;positive;CLEAN;255
de;immer sauber putzen;positive;CLEAN;256
de;immer sehr ordentlich reinigen;positive;CLEAN;257
de;nur bei Abreise reinigen;positive;CLEAN;258
de;ordentlich;positive;CLEAN;259
de;sauber;positive;CLEAN;259
en;clean;positive;CLEAN;259
en;tidy;positive;CLEAN;259
es;limpio;positive;CLEAN;259
fr;propre;strongpositive;CLEAN;259
it;pulire;positive;CLEAN;259
nl;keurig;positive;CLEAN;259
nl;net;positive;CLEAN;259
nl;netjes;positive;CLEAN;259
nl;proper;positive;CLEAN;259
nl;schoon;positive;CLEAN;259
de;regelmäßig reinigen;positive;CLEAN;260
de;sehr gepflegt;positive;CLEAN;261
de;sofort wieder reinigen;positive;CLEAN;262
de;täglich reinigen;positive;CLEAN;263
de;werden ständig säubern;positive;CLEAN;264
de;pikobello sauber;strongpositive;CLEAN;265
de;sehr gepflegt Zustand;strongpositive;CLEAN;266
de;sehr ordentlich;strongpositive;CLEAN;267
es;muy prolijo;strongpositive;CLEAN;267
it;molto ordinato;positive;CLEAN;267
nl;erg netjes;strongpositive;CLEAN;267
nl;heel netjes;strongpositive;CLEAN;267
nl;uiterst nette;strongpositive;CLEAN;267
de;sehr sauber;strongpositive;CLEAN;268
de;überaus sauber;strongpositive;CLEAN;268
en;very clean;strongpositive;CLEAN;268
es;bien limpios;strongpositive;CLEAN;268
es;extremadamente limpias;strongpositive;CLEAN;268
es;muy limpia;strongpositive;CLEAN;268
es;muy limpias;strongpositive;CLEAN;268
es;muy limpio;strongpositive;CLEAN;268
es;todo muy limpio;strongpositive;CLEAN;268
fr;tres propre;positive;CLEAN;268
fr;très propre;positive;CLEAN;268
it;ben pulire;positive;CLEAN;268
it;molto pulire;positive;CLEAN;268
it;molto pulito;positive;CLEAN;268
nl;erg schoon;strongpositive;CLEAN;268
nl;zeer schone;strongpositive;CLEAN;268
nl;zeer schoon;strongpositive;CLEAN;268
de;super sauber;strongpositive;CLEAN;269
nl;super schoon;strongpositive;CLEAN;269
nl;superschoon;strongpositive;CLEAN;269
de;tadellos tadellos;strongpositive;CLEAN;270
de;Top sauber;strongpositive;CLEAN;271
en;fine;positive;CLEAN;272
nl;prima;positive;CLEAN;272
en;kept clean;positive;CLEAN;273
nl;goed schoon gehouden;positive;CLEAN;273
nl;schoon gehouden;positive;CLEAN;273
en;kept tidy;positive;CLEAN;274
en;one of the cleanest;positive;CLEAN;275
en;always clean;strongpositive;CLEAN;276
fr;toujours bien nettoye;strongpositive;CLEAN;276
it;sempre ben pulito;positive;CLEAN;276
it;sempre pulito;positive;CLEAN;276
en;exceptionally clean;strongpositive;CLEAN;277
en;immaculately clean;strongpositive;CLEAN;277
es;estaba limpio;positive;CLEAN;278
es;si fueron limpiados;positive;CLEAN;279
es;bien limpia;strongpositive;CLEAN;280
nl;prima schoon;positive;CLEAN;280
es;totalmente limpias;strongpositive;CLEAN;281
fr;et propre;positive;CLEAN;282
nl;en schoon;positive;CLEAN;282
fr;impeccable;positive;CLEAN;283
it;pulitissime;strongpositive;CLEAN;283
fr;nettoyer;positive;CLEAN;284
nl;schoonmaken;positive;CLEAN;284
fr;toujours aussi propre;positive;CLEAN;285
fr;nourriture excellent;strongpositive;CLEAN;286
it;freschezza;positive;CLEAN;287
it;molto curato;positive;CLEAN;288
it;perfettamente pulito;strongpositive;CLEAN;289
it;pulitissimi;strongpositive;CLEAN;290
it;soprattutto pulitissimo;strongpositive;CLEAN;291
it;veramente pulito;strongpositive;CLEAN;292
nl;alles schoon;positive;CLEAN;293
nl;dagelijks schoon;positive;CLEAN;294
nl;elke dag schoongemaakt;positive;CLEAN;294
nl;gewoon netjes;positive;CLEAN;295
nl;goed schoon gemaakt;positive;CLEAN;296
nl;lekker schoon;positive;CLEAN;297
nl;ongedwongen;positive;CLEAN;298
nl;oogt netjes;positive;CLEAN;299
nl;voor italiaanse begrippen prima;positive;CLEAN;300
nl;was verder keurig;positive;CLEAN;301
nl;was werkelijk brandschoon;positive;CLEAN;302
nl;blinkend;strongpositive;CLEAN;303
nl;ontzettend goed schoon gehouden;strongpositive;CLEAN;304
nl;perfect schoon gehouden;strongpositive;CLEAN;304
nl;zeeeer proper;strongpositive;CLEAN;305
nl;zijn kraaknet;strongpositive;CLEAN;305
de;elegant;positive;GEN-EVAL;306
en;stylish;positive;GEN-EVAL;306
de;gepflegt;positive;GEN-EVAL;307
en;well look after;positive;GEN-EVAL;307
en;well maintain;positive;GEN-EVAL;307
es;bien cuidado;positive;GEN-EVAL;307
nl;goed onderhouden;positive;GEN-EVAL;307
nl;goed verzorgd;positive;GEN-EVAL;307
de;komfortabel;positive;GEN-EVAL;308
en;comfortable;positive;GEN-EVAL;308
en;comfy;positive;GEN-EVAL;308
en;cozy;positive;GEN-EVAL;308
es;acogedor;positive;GEN-EVAL;308
es;confortable;positive;GEN-EVAL;308
fr;confortable;positive;GEN-EVAL;308
it;comodo;positive;GEN-EVAL;308
it;confortevole;positive;GEN-EVAL;308
nl;comfortabel;positive;GEN-EVAL;308
nl;gezellig;positive;GEN-EVAL;308
de;modern;positive;GEN-EVAL;309
en;modern;positive;GEN-EVAL;309
es;moderno;positive;GEN-EVAL;309
fr;moderne;positive;GEN-EVAL;309
it;moderno;positive;GEN-EVAL;309
nl;modern;positive;GEN-EVAL;309
de;neu;positive;GEN-EVAL;310
en;new;positive;GEN-EVAL;310
es;nuevo;positive;GEN-EVAL;310
fr;nouveau;positive;GEN-EVAL;310
it;nuovo;positive;GEN-EVAL;310
nl;nieuw;positive;GEN-EVAL;310
de;sehr gepflegt;positive;GEN-EVAL;311
de;super pflegen;strongpositive;GEN-EVAL;311
es;muy cuidadas;strongpositive;GEN-EVAL;311
nl;zeer goed onderhouden;strongpositive;GEN-EVAL;311
de;sehr komfortabel;strongpositive;GEN-EVAL;312
en;very comfortable;strongpositive;GEN-EVAL;312
fr;très confortable;positive;GEN-EVAL;312
nl;zeer comfortabel;strongpositive;GEN-EVAL;312
de;sehr modern;strongpositive;GEN-EVAL;313
en;very modern;strongpositive;GEN-EVAL;313
es;muy moderno;strongpositive;GEN-EVAL;313
fr;très moderne;positive;GEN-EVAL;313
en;luxury;positive;GEN-EVAL;314
fr;luxe;strongpositive;GEN-EVAL;314
it;lusso;positive;GEN-EVAL;314
nl;luxe;positive;GEN-EVAL;314
en;neatly decorate;positive;GEN-EVAL;315
en;recently refurbish;positive;GEN-EVAL;316
nl;onlangs gerenoveerd;positive;GEN-EVAL;316
en;romantic;positive;GEN-EVAL;317
it;romantico;positive;GEN-EVAL;317
de;alt;negative;GEN-EVAL;318
en;old;negative;GEN-EVAL;318
es;viejo;negative;GEN-EVAL;318
fr;vieux;positive;GEN-EVAL;318
it;vecchio;negative;GEN-EVAL;318
nl;oud;positive;GEN-EVAL;318
de;dunkel;negative;GEN-EVAL;319
en;dark;negative;GEN-EVAL;319
nl;donker;negative;GEN-EVAL;319
en;date;negative;GEN-EVAL;320
it;datato;negative;GEN-EVAL;320
nl;verouderd;negative;GEN-EVAL;320
en;grey;negative;GEN-EVAL;321
it;grigio;negative;GEN-EVAL;321
en;very old;strongnegative;GEN-EVAL;322
